iters cors rmsds mean_rmsd id
575 5000 0.0857142857142857 6.09 5.75766666666667 1Z2J
576 6000 -0.295238095238095 6.09 6.409 1Z2J
577 7000 -0.142857142857143 3.958 3.34933333333333 1Z2J
578 8000 -0.0285714285714286 6.09 8.08733333333333 1Z2J
579 9000 -0.123809523809524 3.958 6.39833333333333 1Z2J
580 10000 -0.0285714285714286 3.958 8.08733333333333 1Z2J
581 1000 0.0769230769230769 7.745 7.28266666666667 2L3E
582 2000 0.0769230769230769 7.745 7.28266666666667 2L3E
583 3000 0.0769230769230769 7.745 8.13066666666667 2L3E
584 4000 0.0989010989010989 7.745 7.28266666666667 2L3E
585 5000 0.208791208791209 7.745 8.13066666666667 2L3E
586 6000 0.142857142857143 5.53 8.13066666666667 2L3E
587 7000 0.0769230769230769 5.53 8.13066666666667 2L3E
588 8000 0.0549450549450549 7.745 8.13066666666667 2L3E
589 9000 -0.120879120879121 7.745 8.13066666666667 2L3E
590 10000 0.032967032967033 7.745 8.13066666666667 2L3E
